name,city,price
Chevrolet Celta 1.0 Lt Flex Power 5p,Votorantim,20900
Chevrolet Celta 1.0 Ls Flex Power 3p,Santo André,15500
Chevrolet Celta Celta Ls 1.0 (flex) 2p,Campinas,16990
Chevrolet Celta 1.0 Mpfi Lt 8v,São José dos Campos,19900
Chevrolet Celta Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual,São Paulo,22900
Chevrolet Celta Chevrolet Celta 1.0 4p Lt Flex,Piracicaba,24800
Chevrolet Celta 1.0 Ls Flex Power 5p,São Paulo,21497
Chevrolet Celta 1.0 Mpfi Lt 8v,Santo André,25900
Chevrolet Celta Celta 1.0 Mpfi Ls 8v Flex 4p Manual,Sorocaba,19990
Chevrolet Celta 1.0 Lt Flex Power 5p,Taubaté,20900
Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual,São Carlos,19900
Chevrolet Celta Ls 1.0 Vhce 8v Flexpower,São Paulo,16900
Chevrolet Celta 1.0 Ls Flex Power 5p,São José do Rio Pardo,19900
Chevrolet Celta 1.0 Lt Flex Power 5p,São Bernardo do Campo,19900
Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual,São Paulo,24890
Chevrolet Celta 1.0 Lt Flex Power 5p,São Paulo,19900
Chevrolet Celta 1012487,São Paulo,19900
Chevrolet Celta Celta Ls 1.0 Flex,Campinas,16990
Chevrolet Celta Life,Carapicuíba,12900
Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual,São Paulo,20780
Chevrolet Celta 1.0 Mpfi Ls 8v Flex 2p Manual,Sorocaba,18900
Chevrolet Celta 1.0 Mpfi Ls 8v Flex 4p Manual,São Paulo,17000
Chevrolet Celta 1.0 Mpfi 8v Flexpower 5p,São Paulo,14990
Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual,São José dos Campos,21990
Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual,Vinhedo,21900
Chevrolet Celta 1.0 Mpfi Vhce 8v Flex 4p Manual,Saltinho,20990
Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual,Votorantim,22700
Chevrolet Celta 1.0 Mpfi Ls 8v Flex 2p Manual,Mogi das Cruzes,17800
Chevrolet Celta 1.0 Lt Flex Power 5p,Tietê,20999
Chevrolet Celta 1.0 Mpfi Ls 8v Flex 4p Manual,Espírito Santo do Pinhal,19490
Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual,São Paulo,25900
Chevrolet Celta 1.0 Mpfi Ls 8v Flex 4p Manual,Bauru,19900
Chevrolet Celta 1.0 Mpfi Ls 8v Flex 2p Manual,Marília,16490
Chevrolet Celta Celta Lt 1.0 (flex),Mogi das Cruzes,21900
Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual 2012/2013,Piracicaba,22990
Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual,São Paulo,19890
Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual,Marília,20900
Chevrolet Celta 1.0 Ls Flex Power 3p,São Paulo,13900
Chevrolet Celta 1.0 Ls Flex Power 3p,Santo André,15000
Chevrolet Celta Celta Lt,Suzano,20000
Chevrolet Celta 1.0 Lt Flex Power 5p,São Paulo,14700
Chevrolet Celta 1.0 Lt Flex Power 5p,São Paulo,20550
Chevrolet Celta 1.0 Lt Edição Limitada Flex Power 5p,Cipó Guaçu,17000
Chevrolet Celta 1.0 Ls Flex Power 3p,São Paulo,13500
Chevrolet Celta 1.0 Lt Edição Limitada Flex Power 5p,Campinas,18990
Chevrolet Celta 1.0 Ls Flex Power 3p,São Paulo,14500
Chevrolet Celta 1.0 Lt Flex Power 5p,São Paulo,17000
Chevrolet Celta 1.0 Lt Flex Power 5p,Osasco,19000
Chevrolet Celta 1.0 Lt Flex Power 5p,Carapicuíba,15500
Chevrolet Celta 1.0 Lt Flex Power 5p,São José dos Campos,21000
Chevrolet Celta 1.0 Lt Flex Power 5p,São Vicente,17000
Chevrolet Celta 1.0 Lt Flex Power 5p,Sumaré,20500
Chevrolet Celta 1.0 Lt Flex Power 5p,Itapevi,19000
Chevrolet Celta 1.0 Lt Flex Power 5p,Mococa,21000
Chevrolet Celta 1.0 Ls Flex Power 5p,São Paulo,16500
Chevrolet Celta 1.0 Ls Flex Power 3p,São Paulo,14000
Chevrolet Celta 1.0 Lt Flex Power 5p,São Paulo,20500
Chevrolet Celta 1.0 Ls Flex Power 3p,Ibitinga,16500
Chevrolet Celta 1.0 Lt Edição Limitada Flex Power 5p,São Paulo,19999
Chevrolet Celta 1.0 Ls Flex Power 3p,São Bernardo do Campo,15500
Chevrolet Celta 1.0 Lt Edição Limitada Flex Power 5p,Indaiatuba,19000
Chevrolet Celta 1.0 Ls Flex Power 5p,São Paulo,19500
Chevrolet Celta 1.0 Ls Flex Power 3p,Ferraz de Vasconcelos,15000
Chevrolet Celta 1.0 Ls Flex Power 3p,São Paulo,14000
Chevrolet Celta 1.0 Ls Flex Power 5p,Caieiras,18500
Chevrolet Celta 1.0 Ls Flex Power 3p,Piracicaba,16900
Chevrolet Celta 1.0 Ls Flex Power 3p,Francisco Morato,13900
Chevrolet Celta 1.0 Life Flex Power 5p,Santo André,19000
Chevrolet Celta 1.0 Ls Flex Power 3p,São Paulo,18000
Chevrolet Celta 1.0 Ls Flex Power 3p,São Paulo,14500
Chevrolet Celta 1.0 Ls Flex Power 5p,São Bernardo do Campo,17600
Chevrolet Celta 1.0 Lt Edição Limitada Flex Power 5p,Arujá,15900
Chevrolet Celta 1.0 Lt Flex Power 5p,Guarujá,22000
Chevrolet Celta 1.0 Ls Flex Power 3p,Ribeirão Pires,12950
Chevrolet Celta 1.0 Ls Flex Power 3p,São Paulo,14500
Chevrolet Celta 1.0 Ls Flex Power 3p,Itupeva,17000
Chevrolet Celta 1.0 Ls Flex Power 3p,Barueri,13000
Chevrolet Celta 1.0 Lt Flex Power 5p,Jundiaí,21900
Chevrolet Celta 1.0 Ls Flex Power 3p,Barueri,14800
Chevrolet Celta 1.0 Ls Flex Power 3p,Valinhos,13800
Chevrolet Celta 1.0 Ls Flex Power 3p,Guarulhos,18000
Chevrolet Celta 1.0 Ls Flex Power 3p,Sorocaba,15990
Chevrolet Celta 1.0 Ls Flex Power 5p,Americana,15000
Chevrolet Celta 1.0 Lt Flex Power 5p,São Paulo,18900
Chevrolet Celta 1.0 Lt Flex Power 5p,Itatiba,21000
Chevrolet Celta 1.0 Ls Flex Power 3p,São Paulo,14500
Chevrolet Celta 1.0 Ls Flex Power 3p,Araçatuba,16000
Chevrolet Celta 1.0 Ls Flex Power 3p,Osasco,15300
Chevrolet Celta 1.0 Lt Edição Limitada Flex Power 5p,Jundiaí,19500
Chevrolet Celta 1.0 Lt Flex Power 5p,São Paulo,16900
Chevrolet Celta 2012,São Paulo,19900
Chevrolet Celta 1.0 Lt Edição Limitada Flex Power 5p,São Paulo,19000
Chevrolet Celta 1.0 Lt Flex Power 5p,Campinas,16430
Chevrolet Celta 1.0 Ls Flex Power 3p,São Carlos,14800
Chevrolet Celta 1.0 Lt Flex Power 5p,Santo André,20000
Chevrolet Celta 1.0 Lt Flex Power 5p,São Paulo,13900
Chevrolet Celta 1.0 Mpfi Ls 8v Flex 2p Manual 2011/2012,Piracicaba,17990
Chevrolet Celta 1.0 Lt Flex Power 5p,Guarulhos,18800
Chevrolet Celta Celta Lt 1.0 (flex),Santo André,16720
Chevrolet Celta 1.0 Lt Flex Power 5p,São Paulo,15750
Chevrolet Celta 1.0 Lt Flex Power 5p,São Paulo,13900
Chevrolet Celta 1.0 Ls Flex Power 3p,São Paulo,15000
Chevrolet Celta 1.0 Ls Flex Power 5p,São Paulo,21550
Chevrolet Celta 1.0 Ls Flex Power 5p,São Paulo,21498
